Required_Order,Book_Line_Ref,Chapter,Headword,Latin_Entry,Definitions,Occurrences in the Aeneid
17,I.27,I.1-25,"spernō","sprēvī, sprētus, 3, a.","to sever, remove; (fig.), reject, despise, scorn, disdain, 4.678; insult, 1.27.",3
18,I.29,I.1-25,"accendō","ī, cēnsus, 3, a.","to set fire to, light up, enkindle, 5.4; enrage, exasperate, incense, 1.29; incite, rouse, 4.232. (ad and candō, rel. to candeō)",25
19,I.30,I.1-25,"aequor","oris, n.","an equal, horizontal, or level surface; the surface of the sea; the sea, 1.146; water, 6.355; wave, 3.197; a level field, plain, 5.456; low land, 12.524. (aequō)",89
20,I.31,I.1-25,"mītis","e","(adj.), mellow; ripe, ripening; of a lake or pool, mild, gentle; calm, still, 8.88.",1
21,I.31,I.1-25,"arceō","uī, 2, a.","to inclose, shut in; restrain, bind, 2.406; debar, keep off, repel, 1.435; protect, save from, 8.73.",9
22,I.33,I.1-25,"mōlēs","is, f.","a cumbrous mass; a heavy pile or fabric; mound, rampart, 9.35; dike, 2.497; a mass of buildings, vast buildings, 1.421; structure, 11.130; frame or figure, 2.32; bulk, 5.118; weight, 7.589; pile, mass, 1.61; gigantic frame, 5.431; warlike engine, siege tower, 5.439; array, pomp, train, 12.161; body of soldiers, phalanx, 12.575; heavy storm, tempest, 5.790; toil, work, labor, 1.33.",30
23,I.34,I.1-25,"tellūs","ūris, f.","the earth, 6.140; ground, soil, earth, 1.358; land, 1.171; a land (of an island), 1.34; a country, territory, state, kingdom, 11.245; personified, Tellūs, the goddess Tellus or Earth, 4.166.",49
24,I.35,I.1-25,"vēlum","ī, n.","a cloth; sail, 1.103, et al.; a curtain, canvas, covering, 1.469.",32
25,I.35,I.1-25,"spūma","ae, f.","froth, foam, spray, 1.35; pl., spray, 3.208. (spuō, spit)",5
26,I.35,I.26-50,"sāl","salis, m.","salt; brine, salt water, 1.173; (meton.), the sea, 1.35.",7
27,I.40,I.26-50,"mergō","mersī, mersus, 3, a.","to dip, immerse, plunge, w. abl. alone, or w. prep., 6.342; cover, 6.267; (fig.), involve, overwhelm, 6.615.",8
28,I.41,I.26-50,"pontus","ī, m.","the sea; the deep, 2.295; wave, billow, 1.114.",30
30,I.45,I.26-50,"nūbēs","is, f.","a cloud, 1.516, et al.; storm, 10.809; the air, 12.856; (fig.), flock, multitude, 7.705.",43
31,I.43,I.26-50,"ratis","is, f.","a raft, float; bark, boat, ship, 1.43, et al.",22
32,I.44,I.26-50,"pectus","oris, n.","the breast, 1.44; stomach, 5.182; (fig.), mind, 1.227; thought, 5.7; breast, heart, soul, feeling, freq.; spirit, courage, 6.261, et al.; personif.; person, soul, spirit, 2.349.",120
34,I.45,I.26-50,"scopulus","ī, m.","a projecting ledge of rock; a high cliff or rock, 1.180; crag, 1.45; ledge, reef, 1.145; detached rock, fragment of rock, 12.531.",27
35,I.45,I.26-50,"acuō","uī, ūtus, 3, a.","to make pointed; to sharpen, whet, 8.386; (fig.), stimulate, provoke, 7.330; incite, rouse.",7
36,I.46,I.26-50,"dīvus","a, um","(adj.), divine; godlike, 11.657; subst., dīvus, ī, m., a god, freq.; the image of a god, 12.286; dīva, ae, f., a goddess, 1.632, et al.",1
36,I.46,I.26-50,"dīvus","ī, m.","a god, freq.; the image of a god, 12.286; dīva, ae, f., a goddess, 1.632, et al.",69
37,I.47,I.26-50,"cor","cordis, n.","the heart, of the mind, feelings, spirit, passions; mind, heart, breast, 1.50; disposition, spirit, 1.303; pleasure, delight, 7.326.",33
38,I.51,I.26-50,"nimbus","ī, m.","a violent rain; storm, tempest, 1.51; a black cloud, thunder-cloud, cloud, 3.587; a bright cloud; the nimbus surrounding a god, 2.616; cloud of smoke, 5.666; a multitude, 7.793.",24
39,I.52,I.26-50,"vāstus","a, um","(adj.), empty, void, wild, waste, 9.323; vast, unbounded, 1.118; huge, enormous, immense, 3.647; deep-, vast-, sounding, 1.245.",46
40,I.52,I.26-50,"antrum","ī, n.","a cave, cavern, grotto, 1.166.",24
41,I.53,I.26-50,"lūctor","ātus sum, 1, dep. n.","to struggle, strive, contend, 1.53; wrestle, 6.643; w. inf., 12.387.",8
42,I.56,I.26-50,"fremō","uī, itus, 3, n. and a.","to make a murmuring noise; to roar, 1.56; whinny, neigh, 12.82; raise lamentations, 6.175; whiz, 12.922; resound, 4.668; rage, 5.19; to be fierce, furious, 4.229; fume, rave, 12.535; shout and sing, 4.146; a., rage, rave for, clamor for, 11.453, et al.; ore fremere, applaud, shout applause, 5.385; p., fremēns, entis, raging, 4.229.",35
43,I.56,I.26-50,"celsus","a, um","adj. (cellō, rise), high, lofty, 1.56, et al.",23
44,I.57,I.26-50,"scēptrum","ī, n.","a royal staff; scepter, 1.653; freq.; (meton.), rule, sway, power, royal court, realm, 9.9; 1.253; authority, 11.238.",18
45,I.58,I.26-50,"nī","nī","(conj.), not, lest, that not, 3.686; for nisi, if not, unless, except, 5.356, et al.",19
46,I.60,I.26-50,"aura","ae (archaic genit. āī), f.","the air in gentle motion; a breeze, 3.356, et al.; air, 4.278, et al.; a blast; ether, spirit, 6.747; splendor, brightness, 6.204; favor, applause, 6.816; pl., air, 1.59, 387; ad auras, to or into the air, on high, upward.",85
47,I.60,I.26-50,"spēlunca","ae, f.","a cavern, 1.60; retreat, 5.213.",12
48,I.61,I.26-50,"āter","tra, trum","(adj.), black; dark, gloomy, 1.60, et al.; smoky, lurid, 7.456; 4.384; clotted, dark, 3.622; soiled, blackened, 2.272; (fig.), sad, fatal, 6.429; venomous, deadly; of the odor of smoke, 12.591.",71
49,I.63,I.26-50,"habēna","ae, f.","a rein, 1.63, et al.; strap, thong, 9.587; whip, 7.380; immissīs or laxīs habēnīs, with all the reins let out, without restraint, unchecked, 5.662; pressīs or adductīs habēnīs, with tightened reins, 12.622. (habeō)",20
50,I.66,I.26-50,"mulceō","mulsī, mulsus or mulctus, 2, a.","to stroke; lick, 8.634; (fig.), soothe, caress, comfort, 1.197; mitigate, soften, calm, 1.66; to make harmonious, charm, 7.34.",7
51,I.66,I.51-75,"fluctus","ūs, m.","a flowing; billow, surge, wave, 1.66; ocean, sea, 3.270; water, 5.182; (fig.), of the mind, 12.831. (fluō)",44
52,I.69,I.51-75,"incutiō","cussī, cussus, 3, a.","to strike into or upon; add, put into, 1.69. (1. in and quatiō)",1
53,I.69,I.51-75,"puppis","is, f.","the hinder part of a ship; the stern, 5.12; (by synecdoche), a vessel, boat, ship, 1.69; (meton.), crew, 8.497.",43
54,I.71,I.51-75,"nympha","ae, f.","a bride, a maiden; a nymph, one of the inferior deities, presiding over fountains, woods, etc., 1.71, et al.",6
55,I.73,I.51-75,"cōnūbium","iī, n.","nuptials, marriage, 1.73; wedlock, nuptial rite, 3.136; marriage tie, nuptial bond, 3.319. (con- and nūbō, wed)",14
56,I.75,I.51-75,"prōlēs","is, f.","that which springs forth; offspring, race, progeny, 1.75; lineage, 3.180.",24
57,I.79,I.51-75,"epulae","ārum, f.","a banquet, feast, 1.79; food, 1.216. (sing. epulum)",11
58,I.79,I.51-75,"recumbō","cubuī, 3, n.","to lie down again; sink down, 9.713; depend, rest, 12.59. (re- and cubō, lie down)",3
59,I.81,I.51-75,"cavus","a, um","(adj.), hollow, 1.81; concave, 8.599; arching, vaulted, 2.487; cavae manūs, the palms of the hands, 12.86.",34
60,I.81,I.51-75,"cuspis","idis, f.","a spear point, 7.817; point, 5.208; spear, lance, javelin; a spear, 12.386; a spear or, perhaps, the shaft of a spear as a scepter, 1.81.",12
61,I.82,I.51-75,"velut","velut (velutī)","(adv.), even as, like, as it were, as, just as, as if, 1.82, et al. (vel and ut)",27
63,I.90,I.51-75,"intonō","uī, ātus 1, n. and a.","to thunder, 1.90; (impers.), intonat, it thunders, 2.693.",8
64,I.88,I.51-75,"subitus","a, um","having come up suddenly; unexpected, sudden, 2.692; suddenly, 3.225. (subeō)",27
65,I.90,I.51-75,"polus","ī, m.","the terminating point of an axis; the celestial pole; (meton.), the heavens, sky, 1.90; air, 1.398.",10
66,I.90,I.51-75,"micō","micuī, 1, n.","to vibrate, dart, 2.475; flash, glitter, gleam, 1.90; tremble, quiver, 10.396.",11
67,I.90,I.51-75,"aethēr","eris, m. (acc. aethera and aetherem)","the upper air; ether, sky, heaven, 1.90; in a general sense, air, 1.587, et al.",52
68,I.92,I.51-75,"extemplō","extemplō","(adv.), immediately, forthwith, at once, directly, 6.210. (ex and tempus)",14
69,I.92,I.51-75,"membrum","ī, n.","a limb, joint, part, member, 1.691, et al.",31
70,I.93,I.51-75,"gemō","uī, itus, 3, n. and a.","to groan, 7.501; sigh, 1.465; bemoan, bewail, lament, 1.221; of inanimate things, creak, 6.413.",13
71,I.93,I.51-75,"duplex","icis","adj. (duo and plicō), twofold, double, 1.655; lying over each other, lapping, 9.707; both, 1.93; twin, 12.198.",10
72,I.94,I.51-75,"sīdus","eris, n.","a constellation; (fig.), season, 4.309; star, 6.338; bright aspect; weather; storm, 12.451; pl., sīdera, um, weather, vicissitudes of weather, 5.628.",57
73,I.93,I.51-75,"palma","ae, f.","the palm of the hand, 8.69; the hand, 1.93; palm branch, 5.111; a palm branch or wreath as the symbol of victory; reward, prize, 5.349; victory; a victor, 5.339.",28
74,I.94,I.51-75,"ter","ter","(num. adv.), thrice, three times, 1.94, et al. (trēs)",38
75,I.101,I.51-75,"galea","ae, f.","a helmet, either of leather or of metal, 3.468, et al.",32
76,I.102,I.76-100,"strīdeō","2, n., and strīdō, strīdī, 3","to produce a grating or shrill sound; to creak, 1.449; gurgle, 4.689; rustle, 1.397; whiz, roar, 1.102; hiss, 8.420; twang, 5.502.",21
77,I.103,I.76-100,"feriō","4, a.","to smite or strike, 1.103; cut, 4.580; pierce, 12.304; slay, 10.315; strike or slay the covenant victim; hence, of a treaty, to make, 10.154.",20
78,I.104,I.76-100,"prōra","ae, f.","the extreme forward part of a ship; the prow, 1.104.",15
79,I.104,I.76-100,"unda","ae, f.","a wave, billow, 1.161; freq.; the sea, 3.202; water, river, stream, 9.22.",109
80,I.106,I.76-100,"pendeō","pependī, 2, n.","to hang, foll. by abl. alone or w. prep., 2.546, et al.; 5.511; be suspended, 1.106; cling, 9.562; bend, stoop forward, 5.147; (meton.), linger, delay, 6.151; listen, hang upon, 4.79.",28
82,I.108,I.76-100,"torqueō","torsī, tortus, 2, a.","to wind, turn, twist, 4.575; roll along, 6.551; whirl, hurl, 3.208; shoot, 5.497; cast, dash, 1.108; direct, 4.220; turn away, 6.547; turn, cause to revolve, 4.269; control, 12.180; p., tortus, a, um, whirled, whirling, impetuous, 7.567.",43
83,I.112,I.76-100,"cingō","cīnxi, cīnctus, 3, a.","to gird, 2.520; clothe, 8.282; surround, inclose, 1.112; encompass, envelop, 5.13; wreathe, crown, 5.71; involve, 1.673; fly around, 1.398.",35
84,I.113,I.76-100,"fīdus","a, um","adj. (fīdō), trustworthy, faithful, trusty, 1.188; safe, secure, hospitable, 5.24; w. gen., tuī fīdissima, most faithful to thee, 12.659.",23
85,I.114,I.76-100,"vertex","icis, m.","a whirl; whirlpool, 7.567; vortex, 1.117; whirling column of flame, 12.673; the top, crown of the head, the head, 1.403; summit, top, 1.163; mountain summit, height, 3.679; ā vertice, from on high, from above, 1.114. (vertō)",40
86,I.115,I.76-100,"prōnus","a, um","(adj.), inclined, stooping or bending forward, 3.668; leaning 8.236; descending, falling, 11.485; going down, 9.713; favorable, safe, 5.212.",10
87,I.118,I.76-100,"appāreō","uī, itus, 2, n.","to come into sight, appear, 2.622, et al.; be laid open, exposed to view, 8.241; attend, 12.850. (ad and pāreō)",17
88,I.119,I.76-100,"nō","nāvī, nātus, 1, n.","to swim, 1.118.",4
89,I.118,I.76-100,"gurges","itis, m.","a whirlpool, gulf, 3.421; flood, 2.497; wave, billow, 3.564; rolling, raging sea, abyss, 1.118; sea, ocean, 7.704.",20
90,I.123,I.76-100,"imber","imbris, m.","a rain-storm; shower, 1.743, et al.; rain-cloud, 3.194; of sea-water, flood, 1.123; hail, 8.429.",13
91,I.126,I.76-100,"stāgnum","ī, n.","a collection of standing water; a pond, pool, lake; sluggish water or stream, 6.323; pl., stāgna, ōrum, deep waters of the sea, 1.126; waters, 6.330. (stō)",9
92,I.129,I.76-100,"ruīna","ae, f.","a falling down; fall, overthrow; convulsion, commotion, destructive force, 1.129; onset, shock, 11.613; pl., ruin, overthrow, destruction, 1.238; dare, trahere ruīnam, to fall in ruins, 2.310; bring destruction, 12.454. (ruō)",16
93,I.130,I.76-100,"dolus","ī, m.","artifice, device, stratagem, 2.390; fraud, treachery, wile, 2.34; deception, craft, 1.684; secret or hidden crime, crafty misdeed, 6.567; (fig.), maze, 5.590; treacherous work or fabric, 2.264.",26
94,I.131,I.76-100,"for","fātus sum, 1, dep. a. and n.","to speak, report, say, 1.131, 610; ger., fandī; cōpia fandī, opportunity of speaking, 1.520; fandō, by report, 2.81; while speaking, 2.6; p., fandus, a, um; subst., fandum, ī, n., that may be uttered; right, 1.543. (rel. to φημί)",1
95,I.142,I.76-100,"citus","a, um","swiftly moved or driven; speedy, rapid, swift, 1.301; as an adv., 4.574. (cieo)",11
96,I.143,I.76-100,"nītor","nīsus or nīxus sum, 3, dep. n.","to lean or rest upon, w. abl., 6.760; tread, walk upon, 2.380; to be borne upon, poised or balanced upon, 4.252; push, press, struggle forward or upward; ascend, 2.443.",10
97,I.147,I.76-100,"rota","ae, f.","a wheel, 1.147; (fig.), circle or orbit of time, 6.748.",14
98,I.147,I.76-100,"lēvis","e","(adj.), smooth; slippery, 5.328; polished, 5.91.",10
98,I.147,I.76-100,"levis","e","(adj.), of little weight, light, 2.682, et al.; thin, slender, 10.817; delicate, tender, 12.207; light-armed, 11.868; fleeting, fleet, swift, flying, 1.147; flitting, airy, 10.663; sudden, 12.489; insignificant, small, 7.232; mean, 12.764.",26
99,I.149,I.76-100,"saeviō","iī, ītus, 4, n.","to be fierce; to be furious, rage; be angry, 6.544. (saevus)",15
100,I.150,I.76-100,"volō","voluī, velle, irreg. and def. a.","to will, wish, desire, intend, purpose, freq.; followed by the infin., with or without subject acc., by the subj., or by a noun in the acc.; wish, desire, 2.104, et al.; of the gods, order, decree, 5.50, et al.; be willing, 1.733; think of, intend, mean; of things, to signify, mean, 6.318.",46
100,I.150,I.76-100,"volō","āvī, ātus, 1, n.","to fly, 1.300, et al.; of rumor, to be spread rapidly, noised or spread abroad, 3.121.",54
101,I.152,I.101-125,"sileō","uī, 2, n. and a.","to be, keep, remain silent, 2.126; be hushed, calm, still, 1.164; w. acc., to pass over in silence; leave unmentioned, unsung, 10.793.",10
102,I.153,I.101-125,"arrigō","rēxī, rēctus, 3, a.","to raise up; erect; bristle up, 10.726; (fig.), to excite, rouse; p., arrēctus, a, um, standing up, rising; erect, 5.426; bristling, 11.754; attentive, 1.152; animated, roused, encouraged, 1.579; ardent, intent; intense, 5.138; in fearful expectation, 12.731. (ad and regō)",21
104,I.155,I.101-125,"pelagus","ī, n.","the sea; open sea, main, 1.138; flood, 1.246.",44
105,I.155,I.101-125,"genitor","ōris, m.","he who begets; father, sire, 1.155, et al. (gignō)",57
106,I.161,I.101-125,"sinus","ūs, m.","a fold, 1.320; (fig.), sail, canvas, 5.16; bosom, 4.686; a gulf or bay, 1.243; winding stream, a winding, 6.132; a winding, curvature, depth, 1.16l; curving billow, 11.626.",19
107,I.161,I.101-125,"scindō","scidī, scissus, 3, a.","to cut asunder; split, 6.182; part, separate, divide, 1.161; tear, 9.478; (fig.), divide, 2.39.",13
108,I.162,I.101-125,"rūpēs","is, f.","a rock, cliff, crag, ledge, freq.; quarry, 1.429. (rumpō)",18
109,I.162,I.101-125,"geminus","a, um","(adj.), twin, 1.274, et al.; twofold, 6.203; double, two, 4.470; pl., geminī, ae, a, twin, 2.500; two, 1.162.",41
110,I.164,I.101-125,"coruscus","a, um","adj. (coruscō), vibrating, tremulous, waving, 12.701; flashing, 1.164; gleaming, 2.172.",9
111,I.165,I.101-125,"horreō","2, n. and a.","to bristle up or be bristling, 6.419; to bristle, 11.602; (fig.), to shudder, tremble, 2.12; shudder at, fear, dread, 4.209.",12
112,I.165,I.101-125,"nemus","oris, n.","a wood, forest, or grove, 1.165, et al.",37
113,I.162,I.101-125,"immineō","2, n.","to rest over; overhang, 1.165; to be at hand; approach, 9.515.",6
114,I.165,I.101-125,"umbra","ae, f.","shade, shadow, 1.165, et al.; darkness, night, 2.693, et al.; a shade of doubt, 12.669; the shade of the dead, freq.; a ghost, 4.386; a phantom, 10.636; pl., umbrae, ārum, the Manes, shades, 3.638; freq.; sub umbrās, to the abode of the dead, 4.660.",69
115,I.167,I.101-125,"intus","intus","(adv.), within, 1.294, et al. (in)",14
116,I.169,I.101-125,"uncus","a, um","(adj.), hooked, crooked, 1.169; talon-shaped, hooked, 3.217.",8
117,I.169,I.101-125,"morsus","ūs, m.","a biting; eating, 3.394; tooth, 7.112; fang, 2.215; gripe, hold, 12.782; fluke, 1.169. (mordeō)",8
118,I.173,I.101-125,"artus","ūs, m.","a joint of the body of man or beast, 5.422; a limb, 2.173, et al.; part, member, 6.726; frame, body, 9.490. (generally in the pl., except in later writers)",23
118,I.173,I.101-125,"artus","a, um","(adj.), straitened, narrow; close, tight, 1.293.",2
119,I.175,I.101-125,"folium","iī, n.","a leaf, 1.175.",12
120,I.179,I.101-125,"torreō","uī, tostus, 2, a. and n.","to burn, scorch, roast, parch, 1.179; rush, roll, 6.550; of a river bank, 9.105; p., torrēns, entis, subst., a torrent, 7.567.",3
121,I.184,I.101-125,"cervus","ī, m.","a stag, deer, 1.184, et al.",7
122,I.185,I.101-125,"armentum","ī, n.","collective (arō), beasts used for plowing; cattle, 2.499, et al.; of all kinds of animals, a herd, drove; of deer, 1.185; of horses, 3.540.",11
123,I.186,I.101-125,"pāscō","pāvī, pāstus, 3, a. and n.","to furnish with food; to feed; rear, breed, 6.655; nourish, 1.608; (fig.), 1.464; let grow, 7.391; cherish, indulge, nourish, 10.627; pass. as dep., pāscor, pāstus sum, 3, a. and n., to graze, 1.186; feed upon, eat, 2.471; use for pasture, to pasture, 11.319.",10
124,I.187,I.101-125,"arcus","ūs, m.","a bow, 5.500, et al.; the rainbow, 5.88.",23
125,I.190,I.101-125,"sternō","strāvī, strātus, 3, a.","to spread out, spread, 1.700; stretch on the ground, strike down, slay, 1.190; cast down, prostrate, devastate, 2.306; make level, smooth, calm, 5.763; spread, cover, 8.719; strew, litter; overthrow, conquer, 6.858; pass. (in middle sense), sternor, ī, to stretch one's self, lie down, 3.509.",47
126,I.191,I.126-150,"frōns","frondis, f.","a leaf, 3.449; leafage, foliage; leafy spray, branch, twig, bough, 2.249; a leafy crown, a garland, wreath, 4.148.",18
126,I.191,I.126-150,"frōns","frontis, f.","the forehead, brow, 636; face, 11.238; 10.211; horns, 3.9, 627; front, 1.166; prow, 5.158.",16
127,I.191,I.126-150,"turba","ae, f.","confusion, uproar, tumult, 5.152; a crowd, throng, 2.580; multitude, 6.305; herd, 1.191; flock, 3.233.",21
128,I.192,I.126-150,"ingēns","entis","(adj.), great, freq.; huge, enormous, 2.400; monstrous, vast, 3.658; mighty, giant-, 1.99; immense, 5.423; great, massive, 1.640; ponderous, 6.222; vast, spacious, 6.81; lofty, towering, 4.89; stately, 1.446; exalted, great, 2.325; dread, 7.241; fearful, 5.523.",168
129,I.193,I.126-150,"humus","ī, f.","the surface of the ground, the soil; the ground, 3.3, et al.; humī, locative, on the ground, upon the ground; to the earth, 1.193, et al.",22
130,I.195,I.126-150,"hērōs","ōis, m.","a demigod; a hero, 6.192, et al.; an illustrious man, champion, hero, 5.453.",23
131,I.198,I.126-150,"ignārus","a, um","(adj.), not knowing; freq.; unaware, ignorant, 11.154; often w. genit., ignorant of, 1.630; unsuspicious of, 2.106; unconscious, 9.345; not knowing the land; (pass.), unknown, a stranger, 10.706.",28
132,I.200,I.126-150,"rabiēs","em, ē, f.","madness, frenzy, fury, fierceness, 2.357, et al.; of inanimate things, 5.802, et al.",7
133,I.201,I.126-150,"sonō","sonuī, sonitus, 1, n. and a.","to sound, resound, freq.; murmur, 3.442, et al.; chirp, 12.477; rattle, 4.149; roar, 1.246; thunder, 2.113; (w. acc.), indicate by sound, betray, reveal, 1.328; boast, 12.529.",28
134,I.202,I.126-150,"maestus","a, um","adj. (maereō), sad, sorrowful, 2.270, et al.; melancholy, depressing, 1.202; gloomy, mournful, 3.64; betokening grief, 11.35.",36
135,I.206,I.126-150,"surgō","surrēxī, surrēctus, 3, a. and n.","to raise, prick up, 4.183; rise, spring up, arise, 3.513, et al.; as an enemy, 10.28; to swell, 9.30; to tower up, 10.725; increase, grow, rise, 4.274; impend, threaten, 4.43. Cf. subrigō. (sub and regō)",47
136,I.210,I.126-150,"daps","dapis, f.","a feast, banquet, 1.210; food, viands, 1.706; flesh of sacrificial victims, 6.225; usually found in the pl., but the gen. pl. is not used.",16
137,I.211,I.126-150,"vīscus","eris, n.","an inner part of the body; pl., vīscera, um, the entrails, vitals, 6.599; the flesh, 1.211; heart, bosom, 6.833.",12
138,I.212,I.126-150,"secō","secuī, sectus, 1, a.","to cut, freq.; cut off, 4.704; engrave, carve, 3.464; cut through, cleave, 5.218, et al.; of the channel of a river, 8.63; sail through, pass, 8.96; speed, 6.899; shape out mentally, form, 10.107.",29
139,I.212,I.126-150,"tremō","uī, 3, n. and a.","to tremble, quake, shake, quiver, 5.198; tremble at, fear, dread, 8.296.",22
141,I.214,I.126-150,"herba","ae, f.","any grassy or herbaceous growth; grass, turf, 1.214, et al; fodder; herb, plant, 3.650; grassy land, pasture, meadow, 3.221; a plant.",19
142,I.215,I.126-150,"pinguis","e","(adj.), fat, 1.215; well-fed, 1.635; fertile; reeking, 4.62; fat or rich with victims, 9.585.",14
143,I.216,I.126-150,"mēnsa","ae, f.","a table, 1.640; dish, food, viands, 1.216; course of food, 1.723.",25
144,I.223,I.126-150,"trīstis","e","(adj.), sad, sorrowful, 1.228, et al.; melancholy, woeful, mournful; dismal, gloomy, 4.243, et al.; grim, stern, 6.315; dire, 2.337; inauspicious, 11.259; fearful, 3.366; fatal, 5.411.",44
146,I.230,I.126-150,"fulmen","inis, n.","lightning, 10.177; thunderbolt, 2.649, et al.; thunder, 1.230. (fulgeō)",19
147,I.238,I.126-150,"fūnus","eris, n.","a funeral; freq., funeral rites, 4.308; death, carnage, 2.361; corpse, dead body, 6.150; deathbed, 9.491; funeral pyre, 11.189; calamity, 1.232; pl., fūnera, um, a corpse prepared for burial, 9.486.",33
148,I.238,I.126-150,"sōlor","ātus sum, 1, dep. a.","to solace, console, 5.770; assuage, comfort, aid, relieve, 5.41; console one's self for, 1.239.",10
149,I.244,I.126-150,"fōns","fontis, m.","a spring, fountain, 1.244; water, 2.686; living water, 12.119; lake, 4.512.",12
150,I.246,I.126-150,"arvum","ī, n.","arable land; land; a field, 1.246; soil; plain, the ground, 12.237; the shore, 2.209; pl., arva, ōrum, fields, lands, country; waters, 8.695. (arō)",53
