lesson_number,latin_headword,latin_endings,part_of_speech,english
25,ab latere apertō,,special expression,on the open/right flank
25,signum inferre,,special expression,to advance
26,intermitto,"intermittere, intermisi (3)",verb,in passive: intervene
26,nam,,conjunction,"for, on the other hand; for instance"
26,moror,"morari, moratus sum",verb,"delay; stay, stay behind; devote attention to"
26,littera,"-e, f.",noun,"letter (alphabet); (pl.) letter, epistle; literature, books, records, account"
26,alter...alter / alterī...alterī,,special expression,the one…the other…
27,inopia,"-e, f.",noun,"lack, need; poverty, destitution, dearth, want, scarcity"
27,dēditio,"-nis, f.",noun,surrender (of combatants/town/possessions); cession of right/title
28,restituo,"restituere, restitui (3)",verb,restore; revive; bring back; make good
28,ratio,"-nis, f.",noun,"reason; count, census"
29,reperio,"reperiere, repperi (3)",verb,"discover, learn; light on; find/obtain/get; find out/to be, get to know; invent"
29,item,,adverb,"likewise; besides, also, similarly"
15.7,confirmo,"confirmare, confirmavi (1)",verb,"strengthen, develop, build up (w/troops); make secure/firm; reassure; secure"
15.7,aditus,"-, m.",noun,"approach, access; attack; entrance; chance, opportunity, means, way; beginning"
15.7,dedo,"dedere, dedidi (3)",verb,"give up/in, surrender; abandon/consign/devote (to); yield, hand/deliver over"
16,amplus,"ampli, amplissi",adj.,"great, large, spacious, wide, ample; distinguished, important, honorable"
16,consido,"considere, consedi (3)",verb,"sit down/be seated; hold sessions, sit (judge), try; alight; subside/sink (in)"
16,quo,,adv.,"where, to what place; to what purpose; for which reason, therefore"
16,amplius,,special expression,"more (the comparative of amplus is often used as a synonym for plus, especially with numerals)"
17,consuetudo,"-inis, f.",noun,"habit/custom/usage/way; normal/general/customary practice, tradition/convention"
17,singuli,,adj.,
17,perspicio,"perspiciere, perspexi (3)",verb,see through; examine; observe
17,nihil posse,,special expression,"to have no power (nihil can be replaced by other words such as multum, plus, plurimum, minus, minimum, etc., with corresponding changes in meaning)"
18,nascor,"nasci, natus sum",verb,"be produced spontaneously, come into existence/being; spring forth, grow; live"
18,apertus,"aperti, apertissi",adj.,open/public/free; uncovered/exposed/opened; frank/clear/manifest; cloudless
18,intra,,prep.,"within, inside; during; under"
18,ordo,"-inis, m.",noun,"row, order/rank; succession; series; class; bank (oars); order (of monks) (Bee)"
18,circiter,,adv.,"nearly, not far from, almost, approximately, around, about"
18,ab superiore parte,,special expression,on the higher part
19,subsequor,"subsequi, subsecutus sum",verb,follow close after; pursue; support
19,insequor,"insequi, insecutus sum",verb,follow/come after; attack; overtake; pursue (hostile); come after (time)
19,cedo,"cedere, cessi (3)",verb,go/pass (from/away); withdraw/retire/leave; step aside/make way; take place of
19,aliter ac,,special expression,"differently than (The words atque and ac generally mean than or as with adjectives and adverbs that imply comparison (e.g., alius, aliter, and aeque)"
20,cohortor,"cohortari, cohortatus sum",verb,"encourage, cheer up; exhort, rouse, incite; admonish"
20,subsidium,"-i, n.",noun,"help, relief; reinforcement"
20,usus,"-, m.",noun,"use, enjoyment; experience, skill, advantage; custom"
20,per se,,special expression,on one's own; through one's own efforts
20,videbantur,,special expression,"seemed best [the passive of video can mean be seen, seem, or seem best, depending on the context]"
21,casus,"-, m.",noun,"fall, overthrow; chance/fortune; accident, emergency, calamity, plight; fate"
21,dimico,"dimicare, dimicavi (1)",verb,"fight, battle; struggle/contend/strive; brandish weapons; be in conflict/peril"
21,desum,"dese, defui",verb,"be wanting/lacking; fail/miss; abandon/desert, neglect; be away/absent/missing"
21,dimitto,"dimittere, dimisi (3)",verb,"send away/off; allow to go, let go/off; disband, discharge, dismiss (soldiers)"
22,provideo,"providere, providi (3)",verb,"foresee; provide for, make provision; with DAT"
22,eventus,"-, m.",noun,"outcome, result, success; event, occurrence; chance, fate, accident"
22,aliae alia in parte,,special expression,"some in one direction, others in another. When two different forms of alius, -a, -ud are used together in the same clause, the expression must be doubled in English translation."
22,opus esset,,special expression,"there was need, it was necessary. When opus is coupled with a form of sum, it does not bear its literal meaning, but forms part of an idiom meaning there is need or it is necessary."
23,dubito,"dubitare, dubitavi (1)",verb,doubt; deliberate; hesitate (over); be uncertain/irresolute
23,cursus,"-, m.",noun,"running; speed/zeal; charge, onrush; forward movement/march; revolution (wheel)"
23,iniquus,"iniqui, iniquissi",adj.,"unjust, unfair; disadvantageous, uneven; unkind, hostile"
23,at,,conj.,"but, but on the other hand; on the contrary; while, whereas; but yet; at least"
23,in fugam conicere (or dare),,special expression,to put to flight
24,permoveo,"permovere, permovi (3)",verb,stir up; move deeply; influence; agitate
24,compleo,"complere, complevi (3)",verb,"fill (up/in); be big enough to fill; occupy space, crowd; furnish/supply/man"
24,premo,"premere, pressi (3)",verb,"press, press hard, pursue; oppress; overwhelm"
24,despero,"desperare, desperavi (1)",verb,despair (of); have no/give up hope (of/that); give up as hopeless (of cure)
25,vito,"vitare, vitavi (1)",verb,"avoid, shun; evade"
25,insto,"instare, institi (1)",verb,"pursue, threaten; approach, press hard; be close to (w/DAT); stand in/on"
25,paulum (=paulo),,adv.,
26,paulatim,,adv.,"little by little, by degrees, gradually; a small amount at a time, bit by bit"
26,conspicor,"conspicari, conspicatus sum",verb,"catch sight of, see; observe, notice; perceive; be conspicuous; be regarded"
27,deicio,"deiciere, dejeci (3)",verb,throw/pour/jump/send/put/push/force/knock/bring down; cause to fall/drop; hang
27,remitto,"remittere, remisi (3)",verb,"send back, remit; throw back, relax, diminish"
27,cado,"cadere, cecidi (3)",verb,"fall, sink, drop, plummet, topple; be slain, die; end, cease, abate; decay"
27,redigo,"redigere, redegi (3)",verb,drive back; reduce; render
28,commemoro,"commemorare, commemoravi (1)",verb,"recall (to self/other); keep in mind, remember; mention/relate; place on record"
28,calamitas,"-tis, f.",noun,"loss, damage, harm; misfortune/disaster; military defeat; blight, crop failure"
28,iniuria,,noun,
28,diligenter,,adv.,carefully; attentively; diligently; scrupulously; thoroughly/completely/well
28,maiores natu,,special expression,"here	elders; usually	ancestors [Note that natu is Ablative of Specification: ""greater with respect to birth""]"
28,in miseros,,special expression,"toward the wretched (people). In with the accusative of a person may be translated toward, against, or into the land of."
